Mission_Day,Astronaut_ID,CLI,Fatigue_Recovery_Score,Performance_Stability_Score,Decision_Efficiency_Score,Cognitive_Readiness,Mission_Readiness_Score,Readiness_Level,Risk_Points,Risk_Level,Risk_Factors
17,A02,98.0,37.5,12.5779315005502,0.0,2.0,12.49058630011004,Low Readiness,10,High Risk,"High Cognitive Load, Poor Recovery, Unstable Performance, Low Decision Efficiency, Low Mission Readiness"
7,A01,95.11,39.60526315789473,14.440895090168294,1.5789473684210509,4.890000000000001,14.651231649612605,Low Readiness,10,High Risk,"High Cognitive Load, Poor Recovery, Unstable Performance, Low Decision Efficiency, Low Mission Readiness"
27,A03,96.02,40.65789473684211,0.0,9.035087719298248,3.980000000000004,13.61724561403509,Low Readiness,9,High Risk,"High Cognitive Load, Unstable Performance, Low Decision Efficiency, Low Mission Readiness"
16,A02,77.2,49.67105263157895,14.440895090168349,18.98245614035088,22.8,26.891556211016123,Low Readiness,9,High Risk,"High Cognitive Load, Unstable Performance, Low Decision Efficiency, Low Mission Readiness"
6,A01,76.5,50.72368421052632,14.440895090168304,19.7719298245614,23.5,27.56208252680559,Low Readiness,9,High Risk,"High Cognitive Load, Unstable Performance, Low Decision Efficiency, Low Mission Readiness"
8,A01,84.0,52.36842105263158,52.600372112562575,18.192982456140346,16.0,32.9604252997055,Low Readiness,8,High Risk,"High Cognitive Load, Low Decision Efficiency, Low Mission Readiness"
18,A02,80.56,51.31578947368421,50.46309528461739,17.403508771929822,19.44,33.10444361832698,Low Readiness,8,High Risk,"High Cognitive Load, Low Decision Efficiency, Low Mission Readiness"
28,A03,78.37,53.42105263157895,41.80450028127518,25.649122807017537,21.629999999999995,34.61744391590416,Low Readiness,8,High Risk,"High Cognitive Load, Low Decision Efficiency, Low Mission Readiness"
26,A03,72.31,51.776315789473685,28.086670456015707,33.2280701754386,27.69,35.17543058243121,Low Readiness,8,High Risk,"Unstable Performance, Low Decision Efficiency, Low Mission Readiness"
19,A02,63.35,62.43421052631579,16.29042670324171,35.59649122807017,36.65,38.76076077924483,Low Readiness,8,High Risk,"Unstable Performance, Low Decision Efficiency, Low Mission Readiness"
9,A01,63.25,63.48684210526316,18.12561605493564,36.3859649122807,36.75,39.61832496537309,Low Readiness,8,High Risk,"Unstable Performance, Low Decision Efficiency, Low Mission Readiness"
15,A02,59.99,60.78947368421053,18.125616054935755,37.175438596491226,40.01,40.11935128116259,Moderate Readiness,7,High Risk,"Unstable Performance, Low Decision Efficiency"
29,A03,60.46,64.53947368421052,18.12561605493577,43.84210526315789,39.54,42.58251794782926,Moderate Readiness,6,Moderate Risk,Unstable Performance
5,A01,59.3,61.84210526315789,44.462344478752925,37.96491228070175,40.7,46.05422328171549,Moderate Readiness,6,Moderate Risk,Low Decision Efficiency
25,A03,55.3,62.89473684210526,47.8492953545665,51.42105263157895,44.7,51.558806439334354,Moderate Readiness,5,Moderate Risk,No Major Risk Indicator
10,A01,46.64,73.55263157894737,16.290426703241668,53.789473684210535,53.36,51.10161165643781,Moderate Readiness,4,Moderate Risk,Unstable Performance
20,A02,45.35,74.60526315789474,12.577931500550232,54.57894736842105,54.65,51.206638931688985,Moderate Readiness,4,Moderate Risk,Unstable Performance
30,A03,42.55,75.65789473684211,14.440895090168404,62.03508771929825,57.45,54.54642463206877,Moderate Readiness,4,Moderate Risk,Unstable Performance
14,A02,43.99,71.90789473684211,48.68419984301898,55.368421052631575,56.01,58.35891891597221,Moderate Readiness,3,Low Risk,No Major Risk Indicator
4,A01,43.83,72.96052631578948,52.89425793043417,56.15789473684211,56.17,59.70945684924473,Moderate Readiness,3,Low Risk,No Major Risk Indicator
24,A03,42.5,74.01315789473685,53.507361993779725,63.6140350877193,57.5,62.35827064436998,Good Readiness,2,Low Risk,No Major Risk Indicator
3,A01,32.01,81.97368421052632,55.61062764985283,60.10526315789474,67.99000000000001,67.03886237207584,Good Readiness,2,Low Risk,No Major Risk Indicator
23,A03,27.68,83.02631578947368,37.15185973582271,73.56140350877193,72.32,68.27330177172595,Good Readiness,2,Low Risk,Unstable Performance
13,A02,29.5,80.92105263157895,50.79089299036714,71.98245614035088,70.5,69.53405579105588,Good Readiness,1,Low Risk,No Major Risk Indicator
12,A02,18.39,89.9342105263158,47.37658650613129,75.9298245614035,81.61,75.42432607315608,Good Readiness,1,Low Risk,No Major Risk Indicator
22,A03,16.96,90.98684210526316,44.751249912756485,83.3859649122807,83.03999999999999,77.45545173693726,Good Readiness,1,Low Risk,No Major Risk Indicator
2,A01,19.22,88.88157894736844,92.12399021987554,75.14035087719297,80.78,83.66428050011547,High Readiness,0,Low Risk,No Major Risk Indicator
1,A01,10.29,95.78947368421052,100.0,77.50877192982455,89.71000000000001,90.23756140350876,High Readiness,0,Low Risk,No Major Risk Indicator
11,A02,4.17,97.89473684210526,100.0,91.75438596491227,95.83,96.16128070175438,High Readiness,0,Low Risk,No Major Risk Indicator
21,A03,0.0,100.0,100.0,100.0,100.0,100.0,High Readiness,0,Low Risk,No Major Risk Indicator
